ABC type,Catalogue,CCI/PAS ID,Wt,Findspot,lat,long,Hoard year,County only,Var obv,Var rev
2012,0,573,1.11,Kirtington,51.8674,-1.2898,,,Ao1,Ar1
2012,0,1225,1.16,Cold Ashton,51.4374,-2.3611,,,Ao3,Ar1
2012,0,1522,1.38,,,,,,Ao1,Ar1
2012,0,2087,0.45,,,,,,Ao2,Ar2
2012,0,3012,0.67,Copston Magna,52.4881,-1.3387,,,Ao1,Ar1
2012,0,21128,0.99,Dowdeswell ,51.8696,-2.0159,,,Ao2,Ar2
2012,0,30408,1.03,Hungerford,51.4101,-1.5269,,,Ao2,Ar2
2012,0,40003,0.82,Worminghall,51.767,-1.074,,,,
2012,0,40120,,Frilford,52.6701,-1.3652,,,Ao2,Ar1
2012,0,40247,1.18,,,,,,Ao1,Ar1
2012,0,41973,1.16,Vale of Pewsey,51.3403,-1.7626,,,Ao3,Ar1
2012,0,41974,1.02,Oxford,51.7504,-1.2626,,,Ao2,Ar2
2012,0,42480,1.14,Boxford,51.4454,-1.3827,,,Ao3,
2012,0,610002,,,,,,,Ao1,Ar1
2012,0,610003,1.22,Godalming,51.1782,-628,,,Ao3,Ar1
2012,0,610004,1.21,Naunton,51.9144,-1.8269,,,Ao2,Ar2
2012,0,610005,1.27,Weston under Penyard,51.9044,-2.5267,,,Ao2,Ar2
2012,0,610006,1.21,"Mount Batten, Plymouth",50.3585,-4.128,1830,,Ao2,Ar2
2012,0,610007,1.05,"Mount Batten, Plymouth",50.3585,-4.128,1830,,Ao2,Ar2
2012,0,610008,1.22,Naunton,51.9144,-1.8269,,,Ao1,Ar1
2012,0,690001,0.88,,,,,,Ao2,Ar3
2012,0,820001,1.31,"Perrott's Brook, Cotswold",51.753,-1.9739,,,Ao2,Ar1
2012,0,820002,,Erlestoke,51.2761,-2.0731,,,Ao2,Ar3
2012,0,820003,,Bratton,51.2761,-2.1447,,,Ao1,Ar1
2012,0,840268,0.65,,,,,,,
2012,0,840653,1.38,Gloucestershire,51.8642,-2.238,,Y,Ao4,Ar3
2012,0,840660,1.2,,,,,,Ao4,Ar4
2012,0,910004,1.19,Swindon,51.5547,-1.785,,,,
2012,0,910293,1.06,"Cathedral, Worcester",52.193,-2.2209,,,Ao1,Ar1
2012,0,910295,0.91,"Cathedral, Worcester",52.193,-2.2209,,,,
2012,0,910360,0.81,Sutton Courtney,51.6336,-1.279,,,Ao2,
2012,0,910513,0.66,Vale of White Horse,51.6696,-1.2929,,,,
2012,0,930066,,Wantage,51.5895,-1.4385,,,Ao2,Ar2
2012,0,930067,,Wantage,51.5895,-1.4385,,,Ao3,
2012,0,930291,1.01,Cleeve Prior,52.1392,-1.8845,,,Ao2,Ar2
2012,0,930355,1.2,Harwell,51.5977,-1.294,,,Ao3,Ar1
2012,0,930939,1.11,,,,,,Ao1,Ar1
2012,0,940458,1.13,Heddington,51.393,-2.0158,,,Ao1,Ar1
2012,0,941111,1,Sutton Courtney,51.6336,-1.279,,,Ao2,
2012,0,941129,0.5,Sutton Courtney,51.6336,-1.279,,,,
2012,0,951127,1.17,Wiltshire,51.2463,-1.9922,,Y,Ao3,Ar2
2012,0,961399,1.1,Erlestoke,51.2761,-2.0587,,,Ao2,Ar4
2012,0,961943,,,,,,,Ao2,Ar1
2012,0,963360,1.13,Ashton Keynes,51.5908,-1.9437,,,Ao1,Ar1
2012,0,971263,,,,,,,,Ar2
2012,0,971264,,,,,,,Ao2,Ar1
2012,0,980166,1.27,,,,,,Ao1,Ar1
2012,0,981004,0.9,,,,,,,Ar2
2012,0,981053,1.01,"Northway, Tewkesbury",52.0033,-2.1131,,,Ao5,Ar3
2012,0,981395,1.07,,,,,,Ao2,Ar3
2012,0,990919,,Wiltshire,51.2463,-1.9922,,Y,Ao1,Ar1
2012,0,991027,,,,,,,Ao2,Ar2
2012,1,BERK-873646,0.8,West Challow,51.581,-1.482,,,,
2012,1,BERK-D123F6,0.97,Lockinge,51.5534,-1.4101,,,Ao1,Ar1
2012,1,BH-6DE9E0,0.41,Bledlow Cum Sanderton,51.6961,-0.8636,,,,
2012,1,FAPJW-9EB9A6,0.67,Alcester,52.203,-1.87,,,,
2012, 1, BERK-893861,1,Stanton St john,51.777,-1.19,,,Ao2,Ar2
2012, 1, BUC-314687,,,,,,,,Ar1
2012, 1, GLO-1C8CB6,,Gretton,51.968,-2.001,,,Ao2,Ar2
2012, 1, NMGW-0E3000,1.06,Bishopstone,51.527,-1.655,,,Ao1,Ar1
