ABC type,Allen,CCI/PAS ID,Wt,Findspot,No of Finds,lat,long,Hoard year,County only,Var obv,Var rev
2012,A,573,1.11,Kirtington,1,51.8674,-1.2898,,,Ao1,Ar1
2012,A,1225,1.16,Cold Ashton,1,51.4374,-2.3611,,,Ao3,Ar1
2012,A,3012,0.67,Copston Magna,1,52.4881,-1.3387,,,Ao1,Ar1
2012,A,21128,0.99,Dowdeswell ,1,51.8696,-2.0159,,,Ao2,Ar2
2012,A,30408,1.03,Hungerford,1,51.4101,-1.5269,,,Ao2,Ar2
2012,A,40003,0.82,Worminghall,1,51.7671,-1.074,,,,
2012,A,40120,,Frilford,1,51.6701,-1.3652,,,Ao2,Ar1
2012,A,41973,1.16,Vale of Pewsey,1,51.3403,-1.7626,,,Ao3,Ar1
2012,A,41974,1.02,Oxford,1,51.7504,-1.2626,,,Ao2,Ar2
2012,A,42480,1.14,Boxford,1,51.4454,-1.3827,,,Ao3,
2012,A,610003,1.22,Godalming,1,51.1782,-0.628,,,Ao3,Ar1
2012,A,610004,1.21,Naunton,1,51.9144,-1.8269,,,Ao2,Ar2
2012,A,610005,1.27,Weston under Penyard,1,51.9044,-2.5247,,,Ao2,Ar2
2012,A,610006,1.21,"Mount Batten, Plymouth",1,50.3585,-4.128,1830,,Ao2,Ar2
2012,A,610007,1.05,"Mount Batten, Plymouth",2,50.3585,-4.128,1830,,Ao2,Ar2
2012,A,610008,1.22,Naunton,2,51.9144,-1.8269,,,Ao1,Ar1
2012,A,820001,1.31,"Perrott's Brook, Cotswold",1,51.7530,-1.9739,,,Ao2,Ar1
2012,A,820002,,Erlestoke,1,51.2761,-2.0731,,,Ao2,Ar4
2012,A,820003,,Bratton,1,51.2761,-2.1447,,,Ao1,Ar1
2012,A,840653,1.38,Gloucestershire,1,51.8642,-2.238,,Y,Ao4,Ar4
2012,A,910004,1.19,Swindon,1,51.5547,-1.785,,,,
2012,A,910293,1.06,"Cathedral, Worcester",1,52.1930,-2.2209,,,Ao1,Ar1
2012,A,910295,0.91,"Cathedral, Worcester",2,52.1930,-2.2209,,,,
2012,A,910360,0.81,Sutton Courtney,1,51.6336,-1.279,,,Ao2,Ar2
2012,A,910513,0.66,Vale of White Horse,1,51.6696,-1.2929,,,,
2012,A,930066,,Wantage,1,51.5895,-1.4385,,,Ao2,Ar2
2012,A,930067,,Wantage,2,51.5895,-1.4385,,,Ao3,Ar2
2012,A,930291,1.01,Cleeve Prior,1,52.1392,-1.8845,,,Ao2,Ar2
2012,A,930355,1.2,Harwell,1,51.5977,-1.294,,,Ao3,Ar2
2012,A,940458,1.13,Heddington,1,51.3930,-2.0158,,,Ao1,Ar1
2012,A,941111,1,Sutton Courtney,2,51.6336,-1.279,,,Ao2,
2012,A,941129,0.5,Sutton Courtney,3,51.6336,-1.279,,,,
2012,A,951127,1.17,Wiltshire,1,51.2463,-1.9922,,Y,Ao3,Ar2
2012,A,961399,1.1,Erlestoke,2,51.2761,-2.0587,,,Ao2,Ar4
2012,A,963360,1.13,Ashton Keynes,1,51.5908,-1.9437,,,Ao1,Ar1
2012,A,981053,1.01,"Northway, Tewkesbury",1,52.0033,-2.1131,,,Ao5,Ar3
2012,A,990919,,Wiltshire,2,51.2463,-1.9922,,Y,Ao1,Ar1
2012,A, BERK-893861,1,Stanton St john,1,51.7770,-1.19,,,Ao2,Ar2
2012,A, GLO-1C8CB6,,Gretton,1,51.9680,-2.001,,,Ao2,Ar2
